group,poolsize,lookdepth,lookwidth,avesol,avetime
1,20,3,20,29.1,8.500000000000003E-4
2,20,3,20,36.0,3.0000000000000003E-4
3,20,3,20,29.1,0.0235
4,20,3,20,36.0,1.0E-4
5,20,3,20,41.35,3.73335
6,20,3,20,50.15,10.866300000000003
7,20,3,20,43.05,8.945999999999998
8,20,3,20,51.15,15.7457
9,20,3,20,50.4,6.869249999999999
10,20,3,20,58.75,2.9938000000000002
11,20,3,20,51.15,7.752800000000002
12,20,3,20,58.65,3.47385
13,20,3,20,75.4,167.49955000000003
14,20,3,20,93.1,293.55685
15,20,3,20,78.7,176.50744999999998
16,20,3,20,93.55,275.24530000000004
17,20,3,20,36.25,0.00745
18,20,3,20,45.0,2.0E-4
19,20,3,20,36.45,0.0043
20,20,3,20,45.0,1.5000000000000001E-4
21,20,3,20,51.55,20.313000000000002
22,20,3,20,61.8,14.47285
23,20,3,20,50.95,13.896350000000002
24,20,3,20,62.05,24.44755
25,20,3,20,61.5,12.785450000000003
26,20,3,20,72.35,2.5345500000000003
27,20,3,20,61.85,16.116950000000006
28,20,3,20,72.65,5.8155
29,20,3,20,92.05,396.0951500000001
30,20,3,20,110.25,581.60585
31,20,3,20,93.95,429.09090000000003
32,20,3,20,111.8,612.5494500000001
